Genes	0	4	8	12	16	20	24	28	32	36	40	44
CLCN1	0.18523	0.342292	0.281366	0.216924	0.379716	0.445052	0.485979	0.374695	0.390079	0.392133	0.313262	0.334977
CLCN2	6.27419	6.66421	7.98696	8.37155	7.84004	8.57662	9.6466	8.3892	9.09443	9.02965	7.51651	6.98514
CLCN3	37.8124	45.6129	43.686	40.9448	41.2616	40.5958	35.8474	36.0107	43.4908	46.4176	46.6324	44.3552
CLCN4-2	34.9491	36.9654	36.4219	36.5877	36.9902	34.8928	36.021	33.5298	41.0614	35.4092	35.4948	35.1428
CLCN5	4.33408	6.74595	5.28212	3.94666	4.66332	5.26012	3.1332	2.95575	4.57815	6.81677	7.36727	6.39839
CLCN6	23.561	30.0233	27.4767	25.7745	28.4116	30.1116	25.0082	22.3889	25.902	29.3705	34.5044	29.4357
CLCN7	12.5993	13.2147	13.289	14.5199	14.9748	13.6133	14.9009	15.7314	14.0012	14.4847	15.9962	14.1849
CLCNKA	0.031253	0	0.0101729	0.0176468	0.0192203	0	0	0.0232239	0.00822704	0.0305367	0	0
CLCNKB	0	0	0	0	0.00991275	0	0.00692009	0	0	0	0.00778851	0
CLDN1	1.28332	0.726394	0.353838	0.392146	0.466576	0.429346	0.442391	0.471205	0.49481	0.453621	0.61281	0.389968
CLDN10	62.2148	45.4739	57.3828	58.9887	53.2345	47.0259	56.6474	60.0013	47.8904	38.0235	31.8644	42.188
CLDN11	47.2922	58.8404	67.476	79.0361	68.6993	66.6093	62.1266	77.9728	93.0698	80.2253	61.9952	57.4768
CLDN12	11.8208	11.9462	12.3566	12.4526	13.5469	10.7638	12.6685	11.7227	15.0047	12.0421	13.334	11.6805
CLDN13	0	0	0	0	0.0245909	0	0	0	0	0	0	0
CLDN14	0.313342	0.610549	0.30469	0.911988	0.253971	0.570877	0.425514	0.347835	0.739225	0.726305	0.266063	0.532524
CLDN15	0.097666	0.0745863	0.0681227	0.0315122	0.115837	0.024798	0.0628958	0.0466554	0.0330552	0.0204488	0.0404507	0.0592402
CLDN16	0	0	0	0	0	0.0423432	0	0	0	0	0	0
CLDN17	0.0238239	0	0	0	0	0	0	0	0.0376284	0.0174584	0	0
CLDN18	0	0	0	0	0	0	0	0	0.00703986	0.0130713	0	0
CLDN19	0.0170466	0.209589	0.237036	0.141525	0.0786267	0.100992	0.0914821	0.115338	0.430331	0.058296	0.14623	0.24456
CLDN2	0.857272	0.442577	0.226887	0.230716	0.147817	0.149519	0.252819	0.223259	0.259413	0.246591	0.319388	0.192767
CLDN20	0	0	0	0.0288366	0.0942237	0.136154	0.0986663	0	0.0806628	0.1497	0.0370161	0
CLDN22	0.0877467	0.195449	0.0856855	0.0908335	0.202363	0.0909743	0.113016	0.16301	0.0923939	0.10717	0.116599	0.010349
CLDN23	0.18138	0.385362	0.122621	0.165439	0.347512	0.185985	0.143762	0.0933108	0.253423	0.132917	0.15169	0.177721
CLDN24	0	0.158197	0.0495388	0.0429669	0.0233991	0.0676241	0.0980095	0.0565463	0.0400629	0.0743518	0.0919242	0.0179498
CLDN3	2.30661	0.872455	0.169995	0.221164	0.16059	0.0773517	0.224216	0.266807	0.189032	0.318927	0.173493	0.277179
CLDN34-PS	0	0	0	0	0	0	0	0	0	0	0	0
CLDN34A	0	0	0	0	0	0	0	0	0	0	0	0
CLDN34B1	0	0	0	0	0	0	0.00564984	0	0	0	0	0.00931256
CLDN34B2	0	0	0	0	0	0	0.00581725	0.0302062	0.021401	0	0	0.00958851
CLDN34B3	0	0	0	0	0	0	0.00615271	0	0	0	0	0
CLDN34B4	0	0	0	0	0	0	0	0	0	0	0	0
CLDN34C1	1.35691	2.01494	2.27149	1.89718	2.35445	2.6988	1.53961	2.16067	2.60241	2.5806	1.75624	2.19479
CLDN34C4	0	0	0	0	0	0	0	0	0	0	0	0
CLDN34D	0	0	0.0564735	0	0	0	0	0	0	0.02119	0	0
CLDN4	0.0143014	0.0254841	0	0.0403759	0.0395786	0	0	0.0159409	0.0112941	0	0	0
CLDN5	23.0593	17.3635	13.1137	17.6106	24.3384	13.352	24.3544	24.7713	14.2053	8.07326	16.2041	16.5734
CLDN6	0.0706924	0.0472385	0.0690318	0.00997898	0.0815161	0	0.0455251	0.0984958	0.0558272	0.0388532	0.0512382	0.0750384
CLDN7	0.088311	0.183593	0.114982	0.0997286	0.115181	0.0184931	0.170615	0	0.147921	0.194147	0.27737	0.124427
CLDN8	0	0.00949373	0.0416209	0.0180497	0.0688072	0.0568155	0.0205861	0	0.0336596	0.046851	0.00772317	0.037702
CLDN9	0.241511	0.115866	0.090707	0.146857	0.599823	0.0990573	0.107675	0.103538	0.132041	0.108912	0.107722	0.184053
CLDND1	33.4124	35.4798	39.7857	39.7666	37.0557	33.164	33.946	34.3725	36.0903	36.393	32.9553	33.9753
CLDND2	0	0	0.0553065	0	0	0	0	0	0	0	0	0
CLEC10A	0.204407	0.198052	0.347172	0.420744	0.237868	0.110495	0.366467	0.158435	0.337047	0.136832	0.173937	0.0628481
CLEC11A	1.66524	1.39021	1.16517	1.18459	0.895087	0.967146	1.08084	1.16922	1.68785	1.05696	0.988387	0.825815
CLEC12A	0.284415	0.0608172	0.111094	0.192712	0.146927	0.0606604	0.315035	0.177532	0.107812	0.100043	0.140179	0.0402534
CLEC12B	0.104661	0.0310816	0.204407	0.0492463	0.0482729	0.0775066	0.134799	0.058328	0.0964283	0.0766965	0.106828	0.0347632
CLEC14A	0.602407	0.64972	0.516015	1.03834	0.857944	0.385071	0.694214	0.506546	0.563369	0.693156	0.723883	0.448731
CLEC16A	8.80283	9.54687	7.78831	8.3211	9.45759	9.67712	9.48566	8.34018	9.96835	9.07285	9.88676	9.3192
CLEC18A	0.441135	0.431073	0.416877	0.321399	0.210035	0.392024	0.348235	0.459985	0.280947	0.615255	0.412564	0.573991
CLEC1A	0.306772	0.273324	0.255727	0.287286	0.220873	0.305866	0.322838	0.241861	0.206811	0.328985	0.330813	0.291216
CLEC1B	0.424532	0.319075	0.311041	0.252998	0.132143	0.127295	0.292113	0.0591478	0.0942676	0.15555	0.134619	0.26283
CLEC2D	7.73766	3.09112	3.16501	4.9232	3.95848	2.45435	4.395	3.81625	3.10036	3.19474	2.18376	2.2936
CLEC2E	0	0	0.0108449	0	0	0	0	0	0	0	0	0
CLEC2F	0	0.0458091	0	0	0	0	0	0	0	0	0	0
CLEC2G	0.0104319	0.0293833	0	0	0	0	0	0	0.00868041	0.00805488	0	0
CLEC2H	0.152604	0.0627531	0	0.0066282	0.0216577	0	0	0	0.00927034	0.0172046	0	0.00830696
CLEC2I	0.0449222	0.010004	0.0109645	0	0.0200231	0	0.0361622	0.0250343	0.0177367	0.00822819	0.00813829	0
CLEC2L	14.9769	16.0395	13.469	15.7036	16.2256	14.9461	16.2403	21.0087	18.7282	12.6002	15.2138	12.3537
CLEC3A	0.0252385	0.0149911	0	0	0	0	0.0108355	0.0375091	0.00664378	0.00616502	0.018293	0.0238134
CLEC3B	4.33994	3.8145	4.40981	9.15632	3.51663	1.87627	7.9314	6.50445	5.07154	8.70302	3.97452	4.71051
CLEC4A1	0.237862	0.105964	0.0497732	0.259021	0.109713	0.135888	0.196946	0.132566	0.0536699	0.124506	0.147775	0.0601156
CLEC4A2	0.262017	0.200103	0.211587	0.31632	0.363936	0.237391	0.275835	0.0698594	0.131318	0.233476	0.310426	0.0887011
CLEC4A3	0.25133	0.426235	0.397146	0.700004	0.369087	0.241953	0.444128	0.293362	0.479719	0.438286	0.346408	0.389284
CLEC4A4	0.0389857	0.034735	0.01269	0.0366883	0.0239759	0.0346455	0.0251063	0	0.0102626	0.0285692	0.037676	0
CLEC4B1	0.0483669	0	0	0.02731	0.0737863	0	0	0	0.0763947	0.141781	0	0
CLEC4B2	0	0	0	0	0	0	0	0	0	0	0	0
CLEC4D	0	0.0181527	0	0.0345124	0	0.0181059	0.0262414	0	0	0	0	0
CLEC4E	0	0	0	0	0.018287	0	0.00638308	0	0	0	0	0
CLEC4F	1.1078	0.204852	0	0.0177032	0.00964088	0	0.161527	0.0116491	0.00825334	0.0842445	0	0.00739564
CLEC4G	0.894251	0.278862	0	0	0.0206234	0	0.273546	0	0.0353104	0.0819147	0	0
CLEC4N	0.343482	0.157807	0.0959545	0.187516	0.142974	0.177076	0.0316277	0.135167	0.2273	0.146091	0.0878935	0.0347544
CLEC5A	0.628424	0.434815	0.557264	0.603621	0.602794	0.385017	0.543496	0.346268	0.459993	0.586362	0.389344	0.403835
CLEC7A	0.248554	0.105453	0.138694	0.494549	0.185832	0.199847	0.2058	0.131927	0.13086	0.32092	0.154417	0.134011
CLEC9A	0.117132	0.108616	0.104118	0.0963539	0.138884	0.104092	0.102372	0.0652798	0.0661869	0.0980727	0.0717196	0.0888096
CLGN	1.41673	2.13006	1.72931	2.13111	2.22584	2.47867	1.90312	2.23301	2.73586	2.43327	2.23019	1.78579
CLHC1	0.0589289	0.0420017	0.0460343	0.126455	0.0326141	0.0418934	0.0151771	0.0788231	0.0279202	0.0604593	0.0756043	0.0667248
CLIC1	8.54947	7.53123	8.34864	11.5094	8.35464	6.267	11.0271	8.82968	7.26665	8.14116	6.79186	7.16093
CLIC3	0.506617	0.416658	0.532772	0.506102	0.826847	0.69264	1.12935	0.521259	0.553966	0.428372	0.451937	0.275776
CLIC4	43.6055	39.3694	39.7351	43.0893	36.2062	35.0478	40.1114	34.0747	40.7458	37.7574	30.091	36.6249
CLIC5	0.8648	1.00814	0.816862	1.08613	1.35695	0.933719	0.871816	0.621607	0.922302	0.876569	1.21262	0.952283
CLIC6	10.1214	11.7526	13.6651	15.9493	13.4169	15.6931	14.0453	10.7909	7.0828	11.7829	11.9967	11.5021
CLINT1	14.2964	15.9732	14.9628	15.5612	15.2274	13.636	13.6899	14.4874	15.9774	15.9673	17.7696	15.3633
CLIP1	15.6143	17.415	17.1581	15.416	17.1373	17.6011	15.959	16.6331	18.0006	18.7946	20.7309	18.9444
CLIP2	28.9998	30.38	28.2799	30.4591	31.2312	30.2555	30.0736	31.3153	29.9432	30.7472	35.8867	30.6956
CLIP3	92.8032	107.306	91.7295	96.18	94.8518	101.087	89.8966	109.963	110.801	101.818	125.92	98.0448
CLIP4	12.4533	12.9565	13.622	12.3481	13.7393	12.1665	12.8647	11.9024	11.6102	12.946	14.9466	13.3854
CLK1	14.8274	19.9744	29.0328	27.3094	36.607	32.1116	47.7874	33.8738	28.511	32.5514	25.3579	31.1181
CLK2	4.12649	5.01242	4.92954	5.5608	5.18198	6.16621	7.26466	6.77516	6.42013	4.95612	5.67955	5.4027
CLK2-SCAMP3	2.60056	2.99885	2.48019	2.15178	2.52552	1.84282	3.05658	2.20013	2.11591	3.04222	2.86982	3.02914
CLK3	15.8823	16.8647	18.2686	19.3332	18.8109	17.8542	21.4111	22.4612	17.3935	17.7115	20.1544	17.7912
CLK4	8.93614	11.4819	15.4216	13.8307	14.3435	15.5517	21.125	19.9036	15.5787	16.1565	12.2638	12.4642
CLMN	10.3078	10.3484	10.1138	7.90375	10.2941	10.1284	8.68554	5.0971	16.6131	10.5225	9.49778	10.8634
CLMP	5.35252	7.17589	6.30338	5.90197	6.31179	6.12529	5.54983	6.35075	6.23416	6.66067	7.93597	6.16994
CLN3	4.10996	4.45937	4.84421	4.47681	4.7554	4.37992	5.88097	6.00446	4.94122	5.06138	4.03996	4.53241
CLN5	7.47897	6.90965	6.83372	7.93752	8.38105	6.87365	7.76154	7.96004	6.86779	7.57249	7.63805	6.76225
CLN6	4.75408	4.43693	4.70044	5.13384	3.62907	3.93964	4.59236	4.88842	4.8244	4.38094	4.04879	4.2053
CLN8	4.13981	4.5696	4.30465	4.8847	4.44298	4.48267	4.19077	3.95052	4.66876	4.75801	4.55679	4.22781
CLNK	0.133151	0.252095	0.146276	0.150365	0.061415	0.0739546	0.0428738	0.241175	0.170872	0.170755	0.108572	0.0588903
CLNS1A	18.9434	19.9245	18.1617	18.6829	17.4286	15.9215	16.881	23.7174	17.2008	16.7089	18.1872	17.0248
CLOCK	7.73614	9.16302	8.15646	6.62682	9.01908	9.17604	7.86632	5.60553	8.73841	9.65105	10.5285	9.83247
CLP1	3.01042	3.42514	2.73268	3.86248	3.42897	2.39895	3.22202	3.57609	3.49353	3.00357	3.10392	2.90045
CLPB	9.61615	10.2193	9.11899	9.49593	10.0191	9.93663	9.12734	8.83686	8.85132	9.01603	10.7723	9.70831
CLPP	41.443	38.4808	40.2899	45.7757	37.8702	35.1747	39.0637	50.729	39.5899	36.6528	37.4851	33.166
CLPS	0	0	0.0792603	0	0	0	0	0	0	0	0	0
CLPSL2	0	0	0	0	0	0	0	0	0	0	0	0
CLPTM1	38.5424	41.6281	41.3631	43.9932	39.0264	35.4441	39.775	45.4843	39.2198	37.1845	43.4767	38.2406
CLPTM1L	34.754	36.3638	36.9892	35.6647	34.154	30.4534	34.7616	44.4102	34.3325	34.0865	33.2014	31.9898
CLPX	13.5357	11.4195	11.4626	11.3472	10.364	9.92095	10.157	12.6677	11.4401	10.1644	11.5197	10.4276
CLRN1	0.365267	0.326876	0.186285	0.293342	0.282828	0.362129	0.193421	0.180957	0.356013	0.321241	0.335423	0.258484
CLRN2	0	0	0.0610273	0.0176438	0	0	0	0	0.0493538	0	0	0
CLRN3	0	0	0.00719581	0	0	0	0	0	0.0116388	0	0	0
CLSPN	0.0910761	0.0768751	0.0327662	0.0811981	0.110548	0.0340786	0.0771736	0.0748022	0.0567827	0.063229	0.0625381	0.0678423
CLSTN1	155.52	182.739	170.638	168.367	170.609	159.053	156.923	178.73	184.027	158.725	200.273	165.431
CLSTN2	11.1204	14.1901	12.6448	10.6492	11.823	12.7936	10.068	10.9298	12.2155	13.3229	15.1994	14.351
CLSTN3	112.501	139.696	129.221	129.696	126.602	120.773	113.419	135.022	125.068	125.111	164.991	128.115
CLTA	151.089	151.17	138.181	163.022	134.526	121.298	143.381	189.088	144.888	131.264	144.719	137.069
CLTB	82.1697	82.9202	77.9802	87.9082	79.1568	74.1691	79.3907	103.307	84.9238	74.553	88.4301	73.251
CLTC	86.8485	97.8092	77.0811	65.7617	81.3114	85.8287	70.6813	82.8204	84.2349	91.7116	107.505	93.0688
CLU	457.201	383.632	467.253	527.402	404.685	374.061	471.291	415.099	395.799	372.181	344.602	397.598
CLUAP1	16.3206	14.9241	14.71	17.3755	14.0793	13.3133	15.3235	19.8504	15.3698	14.3107	16.1438	14.7906
CLUH	20.4227	21.821	20.2098	21.2137	20.4134	20.8559	20.6719	22.538	19.6059	21.1036	24.2884	20.1981
CLVS1	4.64456	5.49551	4.66053	3.38377	5.50338	5.48135	3.8419	3.83956	4.72728	4.95472	7.46568	5.94114
CLVS2	10.6737	11.8251	12.1406	12.065	12.8796	11.8035	10.3042	12.7329	11.4916	11.4105	15.2337	11.6694
CLYBL	14.4913	14.2974	13.8253	15.1349	12.6299	10.9621	11.9515	18.3574	15.6566	11.1243	11.7277	9.95594
CMA1	0.0529439	0	0	0.0448416	0.0244201	0	0.136381	0	0.0209054	0	0	0.0187329
CMA2	0	0	0	0.00878586	0	0	0	0	0.0245761	0	0	0.0330333
CMAH	0.580904	0.348821	0.297216	0.187544	0.271453	0.402917	0.316379	0.230864	0.296216	0.425726	0.237131	0.329781
CMAS	57.0815	63.3617	57.1399	56.9709	50.3131	47.5628	50.735	72.0726	62.2512	55.8924	61.2778	54.7889
CMBL	28.3625	22.1974	22.6851	23.0406	16.7725	14.7846	18.7982	23.5875	18.6073	18.8232	16.4778	19.2703
CMC1	11.3765	12.7174	13.8004	13.2064	11.2769	11.5334	11.1336	12.7858	13.0393	12.5139	12.0357	10.2008
CMC2	5.88493	5.6581	5.3466	5.74144	6.23622	5.67661	6.05653	6.14442	5.30927	4.83114	6.16867	4.25673
CMC4	7.798	7.73503	7.56599	10.1449	7.65316	9.76513	8.33496	8.13276	8.16039	6.73092	7.12615	7.91296
CMIP	65.6865	73.3554	68.4575	59.0913	62.7238	67.2661	60.6244	65.3424	59.7306	65.6838	80.7493	72.9487
CMKLR1	0.955289	0.843394	0.788681	1.32888	0.841186	0.71002	1.0682	0.726003	0.87786	0.98643	0.900117	0.848088
CML1	23.6167	14.2064	14.578	16.0101	16.135	14.5768	17.4303	16.672	11.9251	12.6601	12.5736	13.3598
CML2	9.02929	3.03465	0.454869	0.319829	0.398767	0.655702	1.03672	0.481829	0.414947	1.0104	0.310612	0.371825
CML3	3.70823	3.26635	3.39466	3.84111	5.30516	5.50413	4.41406	3.03147	3.08756	3.40753	3.35671	4.08292
CML5	4.75777	2.00103	2.45286	2.81993	3.57116	2.75745	3.55875	2.76689	1.84365	2.25218	2.91298	3.05316
CMPK1	44.7072	47.3204	44.8887	47.5301	44.2772	40.2417	40.5598	48.4878	50.4096	43.2105	45.0238	41.0381
CMPK2	11.4521	10.1829	10.7181	10.092	10.366	9.8427	10.8325	10.2137	8.94692	10.2947	11.1509	11.1696
CMSS1	6.29607	6.927	6.45092	6.42329	6.38005	4.59903	5.59042	7.33685	6.42234	5.17309	6.22284	6.51437
CMTM1	0.0124571	0.0443956	0	0.0140676	0.0114915	0	0.0160445	0	0	0.0182575	0.018058	0
CMTM2A	0	0.0233692	0	0.0592401	0	0.0466179	0.118238	0	0.0621408	0	0.0190109	0.018561
CMTM2B	0	0	0	0.0192485	0	0	0	0	0	0	0	0.0241236
CMTM3	7.26451	6.00805	7.25292	8.80151	6.25065	6.16626	7.47892	7.38926	6.29004	6.82747	5.71397	6.35101
CMTM4	28.7841	29.0672	27.5053	25.3431	28.0143	25.812	26.2611	17.8602	25.3319	28.7669	28.9484	31.0669
CMTM5	61.0117	49.9478	61.5412	68.024	50.7718	50.4158	62.1994	72.3768	61.8314	47.7939	35.9049	46.2192
CMTM6	10.2896	8.33071	9.37231	10.6577	9.82788	8.16039	11.4425	7.72728	8.52843	8.42082	7.6796	8.72432
CMTM7	1.4341	1.34382	1.47283	2.06627	2.00722	1.30352	1.95853	2.12215	2.12837	1.37158	1.32406	0.962344
CMTM8	2.65765	1.79385	1.25829	1.74315	1.3125	1.21667	1.52133	1.67566	1.8868	1.49509	1.22581	1.50075
CMTR1	19.5316	22.4759	20.0679	19.6878	18.9686	19.5926	20.9641	22.0241	19.5931	21.2726	23.633	21.4598
CMTR2	2.57535	2.97262	2.8599	2.86993	2.95869	2.67511	2.805	2.78727	3.16608	3.17694	3.34909	3.32753
CMYA5	0.0903871	0.0665264	0.095939	0.0987444	0.108758	0.16938	0.163236	0.0832276	0.122588	0.122394	0.0868759	0.101506
CNBD2	1.642	1.41994	1.55627	1.71112	1.58155	1.50211	1.77274	2.0321	1.6495	1.66335	1.61892	1.5977
CNBP	112.702	111.469	108.826	117.991	98.7903	86.9855	102.201	136.467	111.342	102.094	102.566	93.9224
CNDP1	0.0349502	0.0544941	0.00853229	0.0542695	0	0.0077648	0.0168806	0.0292177	0.0828026	0.00640298	0.0379981	0.0185494
CNDP2	22.8193	21.5895	20.3344	24.7237	20.0135	19.4074	21.2457	28.8354	25.1429	20.027	24.0995	18.6054
CNEP1R1	13.7913	13.5327	16.748	16.9054	16.0298	14.0372	14.6539	17.8426	15.8966	14.6476	14.7126	14.8539
CNFN	0	0.0641212	0	0.0406359	0	0	0	0	0.0568315	0	0	0
CNGA1	0	0	0	0	0	0	0.00582961	0	0	0.00663368	0	0.0192178
CNGA2	0.12828	0.200014	0.125267	0.172027	0.162713	0.185248	0.196201	0.223416	0.113969	0.164509	0.139467	0.0794305
CNGA3	0.687339	0.918001	0.757639	0.984806	0.67061	1.05124	0.751206	0.884876	0.766461	1.25443	1.08776	0.87073
CNGA4	0.342797	0.51203	0.511962	0.392809	0.353429	0.349433	0.415543	0.539429	0.374222	0.339867	0.358076	0.392411
CNGB1	1.71456	1.86374	2.2615	1.64839	2.17661	1.73725	1.85425	1.61474	1.69313	2.05272	2.06355	2.31193
CNGB3	0	0.0317179	0	0.00287156	0.0281486	0.00451945	0.00655017	0.00566865	0.00803246	0	0.0110583	0.0107966
CNIH1	41.9596	42.707	44.3123	50.0056	44.832	37.4642	43.6608	47.4117	41.1079	39.3586	41.3934	41.4324
CNIH2	97.3531	79.4041	84.5731	87.7932	85.9943	75.3082	93.1438	79.8019	89.2806	59.7709	73.1584	75.4388
CNIH3	7.69098	3.64695	3.87042	3.78793	5.03129	3.28633	4.42189	3.50089	6.90981	3.9608	3.35502	4.25272
CNIH4	11.0588	10.3797	11.0986	12.6702	11.8305	10.5657	10.8609	10.9338	10.7305	10.3246	10.2335	9.98605
CNKSR1	0.0202808	0.0361391	0.00990219	0.0343542	0.0187088	0.018023	0.065303	0.0678174	0.0560566	0.022293	0.00734981	0.0287035
CNKSR2	6.31692	6.68883	5.44787	4.35556	7.79672	7.28839	5.66072	2.84484	5.05104	7.05634	7.10341	7.80572
CNKSR3	1.24362	1.16468	1.104	1.63182	1.5318	1.38146	1.49254	1.51221	2.5055	1.37219	1.27525	1.47508
CNN1	0.103065	0.126263	0.113224	0.545575	0.225805	0.0572441	0.232303	0.0861601	0.142436	0.708066	0.224105	0.127634
CNN2	2.89856	2.49168	2.68823	3.83255	2.82168	1.98044	3.89273	3.63673	2.24304	2.90329	2.01643	2.0924
CNN3	46.9478	36.7781	39.3242	45.9307	38.8919	33.4382	46.0209	38.141	38.8301	37.4354	33.4265	39.1228
CNNM1	16.9403	18.7347	17.8742	15.852	17.1301	17.5711	16.7071	17.4359	17.5594	16.8632	19.1196	16.854
CNNM2	8.35605	9.04935	9.0873	9.47948	9.19667	9.13378	9.06856	9.15834	9.52569	9.82814	10.9494	9.89102
CNNM3	7.10201	7.31041	7.5316	7.72093	6.88559	7.23105	8.55529	7.94348	6.87142	7.26735	7.78126	7.69242
CNNM4	1.61154	1.98126	2.27878	2.06215	2.21063	2.0645	2.33845	1.98875	2.66103	2.20087	2.25267	1.93648
CNOT1	11.3081	12.5727	11.8624	9.5856	11.7617	12.3884	10.9358	10.1738	11.5232	13.4468	14.25	13.4677
CNOT10	13.8467	15.3881	17.2523	15.6648	16.0467	17.1157	19.4178	20.217	16.4937	17.0528	17.1416	16.9987
CNOT11	7.33038	8.01392	7.56636	7.74924	7.28346	6.78945	7.77641	8.86962	7.50669	7.22668	7.65826	7.28531
CNOT2	16.2579	16.5827	15.3566	15.9353	17.3535	16.8129	17.5078	19.8395	16.256	16.0431	19.4665	17.9713
CNOT3	8.62678	9.24461	9.39424	9.18596	10.5899	10.247	11.2697	10.7988	8.75063	10.5778	10.6223	10.0825
CNOT4	6.13973	6.0316	6.2526	6.36475	7.34586	6.42161	5.93724	6.57948	6.27896	6.96269	8.0462	7.10247
CNOT6	8.79715	8.88648	9.97475	8.71867	10.5077	9.94717	10.6794	7.1018	9.81015	11.1859	10.0713	10.6505
CNOT6L	5.48622	6.18622	6.27043	4.99896	5.55568	6.15445	5.71733	4.62897	6.12611	7.43473	6.79443	6.86576
CNOT7	24.4762	25.0714	26.6397	24.6618	27.1021	25.1115	27.829	25.3102	27.711	26.4341	27.3473	24.6944
CNOT8	21.3119	20.6088	19.1209	21.1633	20.2154	17.7242	21.2453	22.9722	22.4571	19.506	22.1295	18.7386
CNP	151.887	155.577	161.099	179.491	131.7	136.595	159.602	206.744	204.998	159.731	119.981	127.659
CNPPD1	6.60822	6.36357	6.7889	7.63124	6.6889	6.138	8.75608	8.16292	7.07734	6.82605	6.24625	6.24577
CNPY1	0.0110521	0	0	0.00624051	0	0	0.0213524	0	0.0349124	0.00809914	0	0
CNPY2	49.6657	45.7948	45.5303	49.83	41.8321	34.7941	45.6525	56.0879	42.6551	40.5183	39.4165	41.1981
CNPY3	31.026	34.0868	35.7043	35.4808	30.022	28.3833	32.1846	40.6615	32.7353	31.1787	33.3869	30.2934
CNPY4	6.5004	5.96046	5.80687	6.74005	7.16627	5.75081	6.80489	6.59578	5.68598	5.98117	6.16935	6.36371
CNR1	24.769	27.0385	23.9238	23.2941	26.4645	29.9939	20.5407	21.0902	19.3928	28.6087	34.5488	26.8514
CNR2	0.126964	0.0661785	0.134488	0.0874928	0.0609063	0.0524792	0.0843743	0.034496	0.0521404	0.145243	0.0599252	0.067698
CNRIP1	32.9504	35.8527	36.249	34.4761	30.6348	28.5776	30.3868	44.085	36.9774	32.8099	35.6116	31.9395
CNST	8.78086	9.27626	8.75495	8.47993	10.578	8.72243	9.06326	7.64649	10.6725	9.38525	12.1283	9.67171
CNTD1	0.24954	0.222333	0.287984	0.307421	0.418542	0.241919	0.350621	0.316077	0.403092	0.440541	0.411064	0.192641
CNTF	1.03985	0.675512	0.901083	1.61441	0.680023	0.839179	1.60344	0.744497	1.10951	1.24898	0.734519	0.929018
CNTFR	35.4388	33.6116	36.0007	41.8425	35.5945	33.2302	38.017	41.147	40.5075	31.0314	32.8572	32.866
CNTLN	2.21398	2.37563	2.68601	2.28615	2.20335	2.17986	2.39712	2.22685	2.16309	2.63879	2.44222	2.5583
CNTN1	70.1493	83.5741	78.0662	74.5201	80.3238	82.3249	61.1092	65.4619	80.1845	81.9315	93.8508	83.0317
CNTN2	13.5477	18.5318	17.3636	16.2888	17.6679	19.4401	17.1835	15.1088	21.7418	19.695	18.7349	17.6033
CNTN3	2.608	3.0818	3.07225	2.97634	3.49633	3.5848	2.73107	3.18897	4.24268	3.34371	3.9206	2.83506
CNTN4	5.40298	5.92956	4.91735	5.42113	7.14132	5.54605	4.41023	4.63296	8.05455	5.92001	7.13045	5.65525
CNTN5	1.40911	1.74203	1.56834	1.14766	1.64505	1.7349	1.54346	1.25203	1.53972	1.7123	1.84273	2.00742
CNTN6	7.55167	8.44667	7.87164	7.6844	7.73062	6.37299	7.23356	8.28872	8.02848	8.2661	9.02239	8.62626
CNTNAP1	30.8373	35.3301	34.6235	33.6002	37.4445	39.4584	34	23.9513	35.9628	33.0978	37.3718	34.3313
CNTNAP2	28.5308	35.7334	33.3444	28.5028	30.5465	31.0842	26.0481	30.5929	27.3206	33.4492	37.148	31.7415
CNTNAP3	0.874132	1.54452	1.52497	1.01765	1.89816	1.558	1.2239	1.26993	2.00503	1.36752	2.20683	1.4839
CNTNAP4	11.3043	15.593	13.2195	12.5431	11.4059	13.6383	10.1435	11.6771	11.1269	14.3605	16.419	13.9791
CNTNAP5A	3.10593	4.51403	3.45807	2.05707	4.37468	4.4777	1.90475	1.46602	2.59423	4.14488	5.04617	4.5881
CNTNAP5B	1.88677	2.55063	1.79468	1.24686	2.57855	2.32671	1.22106	0.836036	1.52313	2.11323	2.60846	2.67695
CNTNAP5C	0.962491	1.72059	1.01218	0.675846	1.28061	1.85872	0.890017	0.419505	1.0427	1.2298	1.7038	1.56306
CNTRL	1.5331	1.45254	1.6616	1.23717	1.47433	1.73021	1.90217	1.36774	1.7242	1.75673	1.20037	1.72265
CNTROB	2.83217	3.59703	3.53022	3.20869	3.44778	3.62581	4.24654	3.34094	3.62304	3.61746	3.5469	3.72701
COA3	106.295	95.7129	108.567	109.111	94.0522	81.3632	92.4742	123.571	102.546	90.3524	88.6114	88.4341
COA4	5.92103	6.32398	5.24325	5.9805	5.19067	4.8043	5.5183	6.02593	4.18222	4.58155	4.74474	4.65848
COA5	26.1417	26.5677	25.65	24.8028	27.0395	25.2522	24.1733	20.8991	23.3062	24.0277	25.0274	23.943
COA6	23.9975	21.381	25.7042	26.8187	24.9716	20.4035	22.6732	26.5635	23.3777	20.0197	19.4699	22.1235
COA7	3.16726	3.60198	3.40299	3.8433	3.80859	3.34097	3.405	3.9609	3.73493	3.67336	3.99405	3.4865
COASY	13.9031	12.9267	11.6635	12.3151	12.3217	10.952	13.0593	14.6236	11.3921	10.5886	12.0907	11.8298
COBL	8.49798	10.2726	8.31975	7.51518	10.1871	9.20338	8.89964	8.36552	8.81516	9.45452	12.034	10.7069
