Genes	0	4	8	12	16	20	24	28	32	36	40	44	48	52	56	60	64	68
E030024N20RIK	8.91863	7.87498	7.58168	8.76574	7.80713	6.65847	6.81269	10.6022	8.87708	6.48527	7.20138	6.26655	6.74939	7.92829	7.13183	6.62421	7.79334	6.99652
E030025P04RIK	0	0.0235312	0.0257904	0	0	0.164294	0	0.0294386	0.0625715	0	0	0	0.024749	0	0	0	0	0
E030030I06RIK	0.442002	0.675863	0.434097	0.337043	0.584766	0.45938	0.631804	0.591788	0.549943	0.627412	0.514344	0.428578	0.735684	0.749404	0.483527	0.581525	0.493397	0.66082
E030044B06RIK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E130006D01RIK	0.98682	0.653132	1.06724	0.908746	0.364805	0.775592	0.714306	1.09913	0.988963	0.715365	0.415047	0.713093	1.09887	0.940071	0.959321	0.819262	0.647784	0.818226
E130008D07RIK	1.08532	1.74622	1.58759	1.40367	1.24453	1.7286	1.63939	1.54252	1.2107	1.88302	2.04328	1.59221	1.33135	1.75959	1.54565	2.4646	1.5195	1.46082
E130012A19RIK	2.19167	1.77956	1.28622	2.11535	2.11143	1.69822	1.95373	1.76902	1.8587	1.4162	1.34595	1.02377	1.81096	1.23389	2.28076	2.95832	1.40696	1.36624
E130018N17RIK	0.125087	0.0742987	0.0610741	0.0588577	0.0192318	0.0370536	0.107406	0.0929511	0.0164639	0.030555	0.0151105	0.103271	0	0.134023	0.0674101	0.0818409	0.103828	0
E130102H24RIK	2.77425	2.0915	3.79272	3.8318	3.34666	5.00665	6.43171	4.32921	3.90988	5.25453	4.45467	3.77539	4.99942	5.42662	3.58816	4.75841	3.18845	4.59666
E130112N10RIK	0.301182	0.429349	0.372535	0.464831	0.463061	0.553147	0.465498	0.313329	0.380559	0.691557	0.509362	0.483099	0.489201	0.40158	0.51939	0.614813	0.633323	0.342389
E130114P18RIK	9.69583	6.15906	7.69281	9.07378	6.81174	6.96094	7.32803	6.52946	5.88455	4.96708	4.76639	7.29011	6.81433	5.83552	7.62003	4.31726	6.12917	7.51345
E130201H02RIK	0.393775	0.287051	0.314611	0.444684	0.528367	0.222687	0.553279	0.319213	0.650214	0.577125	0.363249	0.405317	0.402544	0.485831	0.655916	0.477799	0.326852	0.449792
E130215H24RIK	0.631862	0.647414	0.586168	0.553003	0.320587	0.449214	0.386566	0.739514	0.698592	0.416732	0.435077	0.558923	0.384868	0.722136	0.987494	0.0744139	0.445805	0.340253
E130218I03RIK	1.73549	1.39026	2.1967	1.40452	1.73592	1.19442	1.75745	2.18787	1.93895	1.80368	1.26745	1.76687	1.84211	2.30443	1.66738	1.65525	2.02632	1.49262
E130304I02RIK	0.0472693	0.252693	0.184636	0.0800708	0.0436054	0.126021	0.0304409	0.105377	0.261307	0.346395	0.137044	0.100351	0.310066	0.135057	0	0.259788	0.353123	0.0848474
E130307A14RIK	9.35524	9.87878	11.1502	10.9827	8.94973	10.4551	11.8161	11.3933	10.597	10.6066	10.1597	9.69634	11.0985	12.6673	10.3548	10.6095	9.2687	9.78146
E130308A19RIK	2.39275	2.79948	2.26876	2.12547	2.67794	2.41519	1.98664	1.51216	2.93556	2.98468	3.02233	2.7768	2.70477	2.18251	2.59205	2.71357	2.65773	3.39871
E130309D02RIK	7.67234	7.11306	7.63881	8.29466	7.67157	6.80865	8.40989	9.1021	8.13516	8.00501	8.7964	6.81136	6.96838	8.92178	6.84681	6.55454	7.97166	7.0014
E130309D14RIK	7.49909	8.52517	7.19333	7.92357	7.36306	7.42555	8.02298	8.99765	7.93754	7.3125	8.91612	7.6506	7.82439	8.15765	6.91219	7.82508	7.83711	6.87655
E130310I04RIK	0.198803	0.235725	0.323555	0.298894	0.305656	0.176431	0.298232	0.0738647	0.103519	0.193881	0.19363	0.5635	0.124405	0.195474	0.357332	0.6777	0.551048	0.23745
E130311K13RIK	4.59442	4.89071	4.94018	4.71232	3.98431	4.28172	4.93125	5.54309	3.99521	4.62783	4.12827	4.6516	3.95059	4.94108	4.6181	4.3908	4.2278	3.78368
E130317F20RIK	1.45993	1.80058	1.41904	1.28994	1.30936	1.37548	1.33627	1.21294	1.80947	1.7088	1.65094	1.33924	1.12739	1.75252	1.50069	1.36911	1.38012	1.26174
E230013L22RIK	0.139098	0.0867526	0.135831	0.0706868	0.07699	0.0494451	0.170198	0.062018	0.098864	0.0611598	0.181475	0.108277	0.0782079	0.109293	0.149923	0.0436841	0.0923669	0.112355
E230016K23RIK	0.166564	0.212005	0.162651	0.114203	0.098776	0.179739	0.20687	0.19892	0.159726	0.104622	0.120726	0.159966	0.200679	0.118975	0.102584	0.214844	0.217261	0.288302
E230016M11RIK	1.20979	1.20934	1.72884	1.1746	1.14324	0.85222	1.49168	2.02273	1.65447	1.66499	1.3046	1.27373	1.34105	1.73884	0.985902	1.64485	0.881727	0.913641
E230025N22RIK	0.0380278	0.0564693	0.13616	0.178934	0.0818538	0.0901179	0.130611	0.183679	0.200209	0.0836017	0.156189	0.0538209	0.154419	0.0633804	0.0956363	0.228902	0.147303	0.0455061
E230029C05RIK	0.855252	1.26329	1.52292	0.867632	0.88557	0.922329	1.43425	1.63033	1.04704	1.25917	0.922564	1.20102	1.46913	0.989313	0.977826	0.897566	1.29173	1.14916
E2F1	0.940018	0.602115	0.571146	0.869519	0.754725	0.723519	0.836212	0.640522	1.6376	0.617809	0.628426	0.718709	0.488542	0.753947	0.715983	1.50578	0.63824	0.806516
E2F2	0.302843	0.457023	0.344068	0.461284	0.256525	0.247085	0.358241	0.420299	0.263609	0.327205	0.36285	0.314953	0.266457	0.292218	0.346352	0.278389	0.392142	0.294034
E2F3	4.10511	4.68053	4.19932	3.81361	4.26603	4.01285	4.09592	4.16888	4.76197	4.44782	4.30837	3.70057	3.59909	4.72798	4.26338	4.9299	4.13237	4.43136
E2F4	8.16603	6.89816	7.92405	7.76456	8.53984	7.02871	9.4262	8.7444	7.81775	7.77189	7.85448	7.41419	8.06131	9.22633	7.51447	7.94367	7.91857	7.13302
E2F5	5.87697	4.70594	5.1287	6.0319	5.51751	5.06403	6.05552	5.98685	5.08765	5.24438	4.47533	5.66446	5.13075	5.39879	5.21176	5.82905	5.29807	6.46295
E2F6	18.1506	17.5901	16.2774	18.4722	19.4937	16.5007	18.5344	18.0719	15.5075	16.9389	19.5681	18.7292	18.1898	18.9678	15.6757	14.6666	19.9812	16.2463
E2F7	0.0260617	0.01161	0.0127247	0.0196207	0.0440762	0.0463205	0.036364	0.0290494	0.106337	0.0477457	0.0661136	0.0307376	0.0325625	0.0341288	0.0374529	0.0204618	0.0288433	0.0545768
E2F8	0.0591518	0.0761257	0.0256721	0.0630882	0.0666928	0.0759294	0.114279	0.117214	0.0778557	0.0481635	0.0714559	0.0837178	0.0492711	0.0516411	0.0920903	0.0309612	0.0327326	0.0648855
E330009J07RIK	3.44525	4.3701	3.13319	2.99968	4.56109	4.27703	3.51436	2.63832	3.68656	4.34599	4.06976	4.19678	3.81996	3.15599	3.84091	4.57367	3.84208	4.5555
E330011O21RIK	0.683711	0.443028	0.364173	0.421148	0.200682	0.248561	0.220151	0.415687	0.613569	0.54658	0.427981	0.351876	0.465958	0.466172	0.267969	0.244	0.515922	0.195244
E330012B07RIK	0	0.00948048	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00835428	0	0
E330013P04RIK	0.0369224	0.120621	0.0120184	0.0486453	0.068121	0.0874983	0.0554811	0.0685921	0.0777557	0.0450953	0.133808	0.0958035	0.0691985	0.0703292	0.0530608	0.106292	0.0817265	0.0883665
E330014E10RIK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E330017A01RIK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E330017L17RIK	0.0370147	0.164895	0	0.0209001	0.307311	0.0328939	0.214534	0.123774	0.23385	0.108499	0.160971	0.0261936	0.138743	0.132197	0.119685	0.0290613	0.0921722	0.132881
E330020D12RIK	0.209861	0.140235	0.204932	0.148121	0.145196	0.396308	0.242141	0.126707	0.151921	0.281946	0.186967	0.281548	0.335956	0.324789	0.150795	0.422219	0.119759	0.306066
E330021D16RIK	0	0	0	0	0	0	0	0	0	0.0104802	0	0	0	0	0	0	0	0
E330023G01RIK	0	0.0160312	0.158133	0.0203192	0.0829916	0	0.0463491	0.100279	0	0	0.0260828	0.0509311	0.0843044	0.0257046	0.135752	0.0565072	0.0298701	0.0484455
E330033B04RIK	0.131559	0.129333	0.281096	0.16527	0.203837	0.336367	0.334491	0.253387	0.234365	0.442538	0.150941	0.302817	0.521504	0.283833	0.228338	0.387573	0.297883	0.271609
E330034G19RIK	0.107199	0.318368	0.209361	0.121058	0.0164816	0.0635095	0.149575	0.0995734	0.183423	0.196391	0.0647484	0.139075	0.0837114	0.229714	0.11554	0.11222	0.0889802	0.0481048
E430016F16RIK	0.00794231	0.00707634	0	0	0	0.0494067	0	0	0.0125444	0.00582022	0.0115132	0	0	0	0.0428017	0.00623573	0	0
E430018J23RIK	2.13317	2.49582	1.89993	2.05158	2.10838	1.97901	2.46065	1.94659	1.99006	1.94113	2.00487	2.1399	1.52667	2.51998	1.78122	2.0429	2.10141	2.03021
E430025E21RIK	10.0689	10.2985	9.48625	9.77972	10.6407	10.1118	9.95851	10.0446	10.2574	10.6497	12.606	11.1811	9.90263	10.7153	9.90057	10.8204	10.9508	10.1043
E4F1	6.00147	5.61915	7.61924	7.12856	7.74338	7.89633	10.3031	8.47431	8.12781	7.66748	6.83531	7.59226	9.69072	9.21525	6.99525	7.65126	7.67804	7.67899
E530001F21RIK	1.26092	1.30141	1.87742	1.21246	1.81963	3.09535	3.54554	2.60221	1.52817	2.3695	1.55638	2.32349	4.56254	3.76318	1.22448	2.08778	2.31086	2.7227
E530011L22RIK	1.90055	2.4774	3.19908	3.05237	2.39449	2.38558	3.05268	3.68458	2.83828	3.15941	2.54601	2.35493	2.35614	3.42821	2.94912	2.44438	2.76224	2.54199
EAF1	5.71914	5.96085	5.43505	5.8781	6.52799	5.31964	5.9836	5.20998	6.35542	6.20126	6.65628	6.20939	5.93407	6.57599	4.94603	6.17132	6.30284	5.63748
EAF2	0.614673	0.781932	0.551832	0.59056	0.699693	0.368959	0.525402	0.616178	0.592713	0.351651	0.317102	0.561257	0.616741	0.721416	0.53048	0.678173	0.53458	0.504336
EAPP	23.5051	23.6153	20.6684	23.7622	24.4761	22.6005	21.6775	22.0275	21.6925	21.7025	21.984	20.6263	21.0461	21.5276	22.2194	20.7236	22.6632	22.1825
EAR1	0	0.081371	0.0891834	0	0	0	0	0	0.0360621	0	0.0330977	0.0323145	0.0213956	0	0.0492178	0	0	0
EAR10	0.0441918	0.0393735	0	0	0	0	0.028459	0.0492581	0	0	0	0	0.0828226	0.031566	0	0	0	0.158647
EAR14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EAR2	0.340443	0.222437	0.0884944	3.85802e-07	7.98693e-07	0.0806778	7.80767e-07	0.106172	0.179236	1.33744e-06	5.96387e-07	0.096366	1.27659e-06	0.142471	0.0978493	0	3.88352e-06	0
EAR3	9.74481e-08	9.2984e-07	0.000307255	0.149715	0.163064	0	0.0284575	0.0395633	3.49923e-07	0.129535	0.0640597	0	0.0414088	0.00668859	0	0	0.0733553	0
EAR4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EAR6	8.86089e-07	0	0	0	0	0	0	0	0	0	0	0.0323792	0	0	0.0493163	0	0	0
EAR7	0.089419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EARS2	2.25256	2.65658	2.12624	1.8037	2.47961	2.33776	2.79162	2.51778	2.17844	2.45042	2.66939	2.7907	2.40619	2.71994	1.97714	2.04599	2.46821	2.35271
EBAG9	15.2853	16.3184	17.6702	17.7107	15.6777	16.0055	14.6182	18.2829	16.7231	16.4856	18.4771	16.1711	14.847	15.6337	15.3801	15.9747	16.7341	16.1643
EBF1	1.47057	2.02819	2.08742	1.61518	1.26979	1.32504	1.23054	1.34809	1.37163	2.10583	2.02349	2.10293	1.55141	1.57608	1.82104	1.26261	1.4373	1.74528
EBF2	0.520482	0.885352	0.818401	0.459063	0.372988	0.31726	0.387854	0.556175	1.06332	0.535423	0.673465	0.672749	0.745736	0.405579	0.959742	0.165444	0.428455	1.4826
EBF3	1.38881	1.65351	1.70082	1.50788	1.77504	0.569139	1.02622	1.23725	2.19185	1.62256	1.79608	1.88096	1.54813	1.44731	1.53298	0.361735	0.722351	2.28888
EBF4	3.91649	5.57817	7.30377	6.97042	6.41914	8.96985	8.07574	7.93252	5.17203	7.33533	6.75621	6.56999	8.40366	8.64508	5.16377	8.2169	7.39749	5.51881
EBI3	0.524672	0.55246	0.815098	0.484777	0.550004	0.529842	0.752557	0.531656	0.452012	0.436916	0.449428	0.455668	0.357571	0.528085	0.951068	0.748973	0.613665	0.449483
EBNA1BP2	14.724	13.8811	14.1515	13.578	15.2034	14.1279	15.9133	16.9763	13.5792	14.1963	16.3386	14.9808	14.3384	15.7934	11.9495	13.4587	15.8889	14.3428
EBP	12.3079	10.1009	8.08056	10.5677	8.76341	7.659	8.59945	10.9384	10.0501	8.40638	8.26039	8.49828	8.27217	9.64496	8.64518	7.85726	8.56717	8.04332
EBPL	6.78048	7.40674	6.05846	6.81246	5.33873	4.83793	6.38796	7.59881	6.39077	5.80444	5.42109	6.10841	5.25084	6.98025	6.56805	4.08171	5.21086	5.22707
ECD	9.91404	10.2738	8.89164	10.2207	10.2028	9.47301	9.73097	10.7269	9.65182	10.2275	12.4598	10.2652	8.55468	10.67	8.92574	9.53407	10.666	9.2993
ECE1	13.6624	15.0444	16.3143	16.0428	13.4234	13.3462	14.4209	12.8483	14.2212	15.2599	14.888	14.2932	12.5514	15.8463	15.5766	13.7096	14.0529	13.1399
ECE2	27.9507	33.1329	32.9826	33.2551	28.0879	31.641	34.368	39.6405	30.4103	34.3962	35.1288	33.0281	34.1154	38.6625	28.9123	26.3299	33.6407	28.5021
ECEL1	44.8983	65.7036	62.4236	57.2465	50.0448	57.0792	55.4472	64.5394	46.5677	54.7042	68.1969	53.4154	55.789	61.1885	55.2766	46.919	71.6309	55.2656
ECH1	47.6195	37.6742	40.2301	47.4585	39.4399	35.7553	42.5958	47.6552	38.6399	34.7333	33.5124	36.0751	34.2081	39.6246	40.5969	33.0049	37.1894	38.3046
ECHDC1	5.0061	4.56274	4.28002	4.37592	4.48947	4.38045	3.72854	3.49681	3.62761	3.8589	4.08367	4.28905	3.59656	3.2503	4.69585	3.56177	4.03297	3.8848
ECHDC2	9.64095	4.06897	4.28314	6.21312	4.59072	4.72965	8.01789	6.39829	5.52752	4.44825	3.38803	4.55502	4.61329	6.24466	5.61488	4.40831	4.15795	3.74034
ECHDC3	1.85802	0.92959	0.614095	0.65368	0.540569	0.304831	0.819171	0.908064	0.688509	0.670315	0.372932	0.556274	0.455368	0.92902	0.970492	0.403971	0.652489	0.590056
ECHS1	41.1071	34.0283	39.1986	43.9279	33.6487	32.4152	36.1794	41.3752	34.5812	32.5871	30.0279	33.5434	30.0256	35.7357	38.5629	31.0109	33.3195	34.5502
ECI1	24.1466	17.1786	19.2853	22.4788	16.4422	17.4118	20.4263	21.8973	17.0553	15.5403	12.9753	14.5648	17.1655	17.0062	20.8654	13.6058	17.5591	17.3044
ECI2	27.5634	24.0362	23.8389	29.9651	24.2769	23.1482	25.9669	30.9988	23.028	23.8559	23.2547	22.5854	21.8492	24.7111	25.458	21.5109	24.3185	21.6814
ECI3	0.393263	0.314448	0.226476	0.347314	0.334874	0.286754	0.272738	0.146116	0.127413	0.251241	0.299656	0.14985	0.377968	0.273703	0.184762	0.15834	0.359908	0.2172
ECM1	2.60724	1.36515	1.509	3.0466	1.83817	1.20534	2.226	1.82822	1.71388	2.98115	2.04358	1.15178	2.23669	1.63671	2.44088	2.94002	2.96061	1.29051
ECM2	1.88519	1.33649	1.14809	1.9	1.91983	1.75938	1.92332	1.36322	1.35003	1.74791	1.63086	1.72137	1.49431	1.57825	1.36916	1.63927	2.1481	1.32201
ECSCR	1.32293	1.56403	1.44091	2.32714	1.19692	1.37913	1.63837	2.18353	1.28584	1.82706	1.19858	1.24223	1.23969	1.52648	2.16624	1.47811	1.52044	1.34715
ECSIT	16.4624	18.5111	18.1377	20.4629	19.541	17.8986	19.9992	22.7876	17.9455	16.3869	19.0837	15.3306	16.0008	18.0106	16.7096	20.9299	19.1011	17.506
ECT2	0.157519	0.204058	0.138577	0.15394	0.193667	0.238421	0.140461	0.10029	0.191381	0.110992	0.142177	0.17576	0.158962	0.181757	0.189366	0.155424	0.150864	0.145351
ECT2L	0.374296	0.348644	0.440266	0.182524	0.164794	0.196552	0.312259	0.265495	0.38964	0.511174	0.25896	0.421386	0.199287	0.32812	0.265892	0.133578	0.233013	0.190867
EDA	1.29207	1.25715	1.49532	1.48223	1.23954	1.1246	1.47064	1.28488	1.16378	1.30323	1.30542	1.12205	1.12133	1.38188	1.32105	1.37871	1.39704	1.20334
EDA2R	0.123049	0.121438	0.197064	0.238296	0.158237	0.199224	0.152058	0.119914	0.215336	0.294484	0.229953	0.123152	0.19391	0.113938	0.192301	0.169382	0.134005	0.289794
EDAR	0.0659327	0.0881159	0.0579456	0.0558427	0.085151	0.0644518	0.157102	0.0661422	0.0520684	0.091801	0.0764614	0.149304	0.135925	0.0894812	0.063957	0.0983548	0.0656729	0.130183
EDARADD	0.0115901	0.0154896	0.0113178	0.0196327	0.0935524	0.0308993	0.0373193	0.0387563	0.318064	0.0552067	0.0735047	0.0656139	0.0488737	0.0372542	0.0749518	0.0204743	0.0120254	0.156029
EDC3	7.02043	7.35497	6.76991	7.76719	7.0693	6.3622	6.5158	8.12654	7.60954	7.52158	8.93786	6.99969	6.74985	7.415	6.49589	6.97453	7.92537	6.51712
EDC4	8.24131	9.92086	10.5968	9.72288	10.2594	10.3118	11.7371	11.8416	10.4999	11.335	10.7833	10.036	10.5118	13.0755	9.45784	11.4411	10.8495	10.2363
EDDM3B	0	0	0	0	0	0	0	0	0.0175864	0	0	0	0	0.0159067	0	0	0	0.0199863
EDEM1	3.89987	3.84991	3.13203	3.34307	3.422	3.50169	3.68245	2.75804	3.40922	3.80159	3.63677	3.11798	3.76834	3.51461	3.36966	3.82499	3.52281	3.63457
EDEM2	7.6772	6.89886	8.3656	9.2713	7.53806	6.94939	9.15954	9.69586	7.65011	6.9942	6.67896	6.63749	7.51321	9.14748	8.25094	7.0365	6.98327	7.07749
EDEM3	9.03921	10.7594	10.2171	8.58598	11.1335	10.0006	9.11527	6.86983	9.55089	11.3896	12.3333	11.5909	10.1699	9.4052	9.85056	10.4699	11.1313	10.1993
EDF1	158.152	144.655	147.104	159.461	143.63	121.236	143.213	191.238	159.293	127.379	135.022	127.54	128.92	151.839	135.115	123.266	144.821	133.852
EDIL3	30.9181	41.1721	38.5352	31.527	33.2713	35.3696	27.0086	30.2409	44.1099	38.1639	42.5647	36.8592	33.2627	33.0267	33.5708	29.0643	35.4647	39.6841
EDN1	0.31104	0.592477	0.460837	0.866019	0.722273	0.619544	0.600918	0.406473	0.465859	0.503026	0.481982	0.516115	0.492482	0.551604	0.473965	0.690514	0.596481	0.741204
EDN2	0.0443225	0	0.064922	0	0.102217	0	0.0142716	0	0	0	0	0	0.0207669	0	0.0477715	0.0869972	0	0
EDN3	1.22349	1.13428	1.21897	2.03516	1.32693	0.844845	1.28302	1.47432	1.30569	1.4721	1.22233	1.06471	0.968333	1.27547	1.57709	2.16783	1.42041	0.986776
EDNRA	0.979664	0.801596	1.00871	1.02353	1.16194	0.734383	1.16737	0.757696	0.699979	1.13303	0.724556	1.04225	0.886799	0.980627	0.948153	0.973226	1.12848	0.849332
EDNRB	37.173	40.4063	52.5949	56.6313	42.0962	48.7471	45.0698	33.459	37.0897	46.831	38.147	41.5079	39.9529	41.5856	56.5042	39.2921	44.6695	49.3705
EDRF1	2.31949	2.81771	2.9445	2.98708	3.65806	2.95712	3.74293	3.0279	3.0717	3.42238	3.77295	3.43745	3.44423	3.1957	2.78363	3.09586	3.22856	3.17461
EEA1	7.12861	8.32865	8.03593	6.46356	7.47795	7.45967	6.77506	5.46883	8.28692	9.03474	9.86418	9.10655	7.71427	7.34976	7.42474	8.19164	8.41886	8.3277
EED	4.59078	5.26991	5.44962	5.65942	6.02709	5.26732	6.57423	6.71703	5.71666	5.73997	6.27815	5.41155	5.44989	5.55072	5.45483	5.99431	5.95724	5.14189
EEF1A1	2053.14	1872.07	1843.2	2127.03	1775.36	1621.36	1822.27	2080.01	1717.92	1707.99	1705.21	1658.81	1588.28	1851.11	1826.67	1624.31	1848.61	1749.31
EEF1A2	306.652	329.718	287.394	327.943	312.155	305.776	304.547	404.681	344.328	294.717	368.124	313.681	262.494	342.337	290.843	283.727	320.131	281.684
EEF1B2	92.6928	83.273	87.583	101.526	78.5213	73.3048	81.094	98.1355	77.1469	74.7035	68.5325	74.5552	73.7867	82.8763	88.4344	70.1573	77.094	78.528
EEF1D	35.2368	31.6791	35.4842	41.8704	31.1781	30.5547	40.0725	43.1095	33.5211	30.6138	31.2598	31.5789	32.08	38.1253	33.4838	27.9638	34.8562	32.0655
EEF1E1	28.4588	31.9598	33.8939	34.4337	30.335	29.5916	26.9297	34.28	32.3249	29.0226	30.8705	29.0243	26.2017	29.0004	29.6599	26.0569	31.3356	28.8179
EEF1G	263.168	247.455	257.943	293.336	239.869	223.22	252.953	316.172	231.429	229.875	234.885	228.968	217.83	267.976	241.327	200.132	249.069	217.79
EEF2	473.628	469.526	477.285	580.475	465.021	480.136	472.675	463.704	471.225	435.986	449.648	437.103	405.351	444.972	535.317	421.434	464.92	441.434
EEF2K	3.97159	4.29545	5.39253	5.26613	3.95019	4.48243	4.78612	4.54632	4.97903	5.13326	4.27845	4.30714	4.37606	5.15211	5.50725	5.02518	4.69134	4.59228
EEF2KMT	4.91422	4.05435	4.13765	4.83187	3.71044	3.58364	4.96474	5.34098	3.94331	3.31728	3.34407	3.39153	3.92612	4.73863	3.93732	3.80242	3.83457	3.75758
EEFSEC	4.84762	4.08784	4.57988	4.88295	3.9332	3.57485	4.49469	4.95911	4.16498	3.87164	4.43396	4.28312	3.41347	4.81987	4.44561	4.16987	4.32382	4.18431
EEPD1	2.49012	2.21034	2.12313	2.48153	2.12568	1.75876	2.96188	3.02415	3.42669	1.93373	2.39075	2.15664	2.36827	2.53528	2.22322	2.71374	2.05921	3.08543
EFCAB1	10.5617	8.32011	9.53341	6.86591	8.91388	7.38891	8.82766	7.59789	8.69576	8.43507	8.81343	10.2834	8.77411	8.7213	7.96584	6.74364	8.20719	9.38941
EFCAB10	10.6736	6.56002	10.6159	10.1562	6.56417	5.92832	6.17357	7.54592	7.49258	7.96658	5.62312	7.2035	6.15864	7.90645	6.9238	5.0436	7.01386	7.09587
EFCAB11	0.369423	0.186515	0.216447	0.25031	0.215833	0.262636	0.285485	0.150984	0.243117	0.288765	0.232058	0.252709	0.0807751	0.378223	0.22563	0.193363	0.183984	0.132621
EFCAB12	1.55441	1.76818	2.00477	1.74986	1.50607	1.87657	2.65051	2.24477	1.62129	2.37132	1.79271	2.45594	1.96047	2.68848	1.41195	1.47371	1.58237	2.16718
EFCAB14	11.578	12.6728	12.2345	12.5222	12.6516	12.7544	12.6105	10.1185	12.8537	13.608	12.0242	12.274	11.9764	12.8486	13.2024	13.8769	12.8416	13.3378
EFCAB2	10.3912	9.89761	9.72469	9.13679	8.38866	9.69737	8.19223	7.71432	9.19987	10.4028	10.2392	9.87866	8.91748	9.46579	9.62101	8.33594	8.29063	9.89947
EFCAB3	0.014927	0	0.0145763	0	0.0275399	0.0397955	0.0384512	0.0166382	0.0235763	0.0218773	0	0.0211262	0	0	0	0	0.0247802	0.0401904
EFCAB5	0.159571	0.261415	0.301593	0.212173	0.284908	0.516907	0.318231	0.315566	0.296749	0.256504	0.29101	0.426185	0.467888	0.27576	0.299593	0.311189	0.350357	0.401921
EFCAB6	0.887829	0.569129	0.838579	0.614419	0.443494	0.715115	0.653698	1.00443	0.504455	0.848385	0.887003	0.854749	1.07931	0.972398	0.564421	0.715631	0.625937	0.798346
EFCAB7	0.83958	1.065	0.903234	0.739217	0.60385	0.657589	0.861422	0.935831	0.696748	0.896812	0.598218	0.876091	0.826759	0.955466	0.736201	0.972009	0.649646	0.638571
EFCAB8	0	0.0814376	0	0	0	0	0	0	0.0144367	0	0	0	0	0	0	0.0143527	0	0
EFCAB9	0.123656	0.220348	0.0402506	0.232739	0.152095	0.10989	0.106178	0.367553	0.0325513	0.0302056	0.149378	0.0291686	0.270377	0.088327	0.177705	0.0647241	0.307923	0.295947
EFCC1	2.39085	3.04665	3.36421	2.539	2.90466	2.82497	2.79796	3.16464	2.81514	3.32604	3.44572	3.07574	2.73144	2.99751	2.94601	2.49039	2.53887	2.8555
EFEMP1	3.48527	3.51855	3.30546	7.27001	4.86893	2.75188	4.5616	4.08046	3.96027	6.65154	4.23446	2.69702	4.44078	5.24766	4.4321	8.59303	7.84633	2.83544
EFEMP2	8.96394	7.83935	8.46436	11.5147	8.37277	7.83937	10.8866	10.9559	7.86721	8.48532	5.96132	7.60383	7.73284	9.83626	10.283	8.07112	9.08758	7.71628
EFHB	0.616243	0.623923	0.583532	0.400678	0.439277	0.373389	0.601293	0.572408	0.494033	0.595278	0.480493	0.687165	0.507473	0.700284	0.342162	0.366538	0.395259	0.62011
EFHC1	1.59244	1.04114	1.24179	1.24201	0.718652	0.865384	1.34276	1.23867	1.0314	1.4524	1.03796	1.5809	1.08429	1.42389	1.04957	0.935456	0.675167	1.00764
EFHC2	0.90802	0.861211	0.762744	1.00887	0.711541	0.954434	0.691645	0.718276	1.0949	0.93014	1.1252	0.974207	0.832589	0.892687	0.947108	0.942884	0.964414	0.858751
EFHD1	15.9918	15.5527	18.7702	17.6783	13.3882	14.3773	14.8284	19.2972	21.3582	15.5166	11.3828	12.3629	18.7118	16.8779	19.1238	12.5105	13.3574	18.1918
EFHD2	61.0834	57.5136	54.9952	62.3432	56.9516	49.0458	54.2122	62.845	63.2666	49.2512	55.6284	52.5588	51.7373	53.7298	54.6896	43.8942	56.294	46.6277
EFNA1	3.11279	2.4688	1.82731	2.5399	1.65983	1.71091	2.43333	2.43214	1.88985	1.71411	1.53889	1.71892	2.27622	2.22344	1.99749	1.49744	1.68766	1.97012
EFNA2	2.20449	1.96413	2.01307	2.2271	2.41836	1.82141	2.32519	1.97906	2.16441	1.78139	1.82239	1.93948	2.33378	2.35773	2.29898	1.75888	1.94853	2.42768
EFNA3	14.3364	14.3624	13.8894	14.3415	13.0794	11.4563	12.9255	13.7151	14.9233	11.4489	14.9403	11.7109	11.086	14.1753	13.2863	11.1319	14.3361	11.3268
EFNA4	0.346995	0.235551	0.274302	0.205258	0.152428	0.102788	0.308589	0.423611	0.339274	0.18163	0.215574	0.187087	0.201291	0.377686	0.409615	0.194597	0.233161	0.133467
EFNA5	6.24237	8.88783	8.06246	6.80286	6.22434	8.10367	7.23414	7.61074	7.01383	8.77592	9.37	8.51024	8.4304	8.44763	6.68651	6.05428	8.96799	8.23366
EFNB1	3.67043	4.01494	3.82552	3.27083	4.50563	2.97761	4.17043	3.57272	3.01341	3.33953	3.90886	3.77007	3.56889	3.86775	3.27451	3.34969	4.60314	3.78993
EFNB2	6.92023	6.17562	6.24663	6.96301	9.73752	7.24816	8.37171	6.82617	4.98141	6.65012	8.4377	6.3627	8.18557	5.92533	7.27872	13.9656	8.05011	7.1502
EFNB3	52.6073	66.5725	66.5994	61.3219	54.2332	55.4254	60.2546	66.7776	66.6261	62.1932	63.5721	56.2537	63.0183	70.1232	58.7199	56.2491	60.902	64.8524
